Model|R2 Score|MAE Score|Correctness|Vars|Dropping|MaeCV|Mae POST
Model 1| niestabilny numerycznie | e^{\frac{Effect of forex changes on cash - \overline{Effect of forex changes on cash}}{\sigma_{Effect of forex changes on cash}}}
Model 383| niestabilny numerycznie | e^{\frac{assetTurnover - \overline{assetTurnover}}{\sigma_{assetTurnover}}}
Model 384| niestabilny numerycznie | Net Debt to EBITDA
Model 385| niestabilny numerycznie | Market Cap
Model 386| niestabilny numerycznie | Invested Capital^3
Model 387| niestabilny numerycznie | Free Cash Flow per Share^3
Model 388| niestabilny numerycznie | e^{\frac{Operating Cash Flow per Share - \overline{Operating Cash Flow per Share}}{\sigma_{Operating Cash Flow per Share}}}
Model 389| niestabilny numerycznie | Dividend payments^2
Model 390| niestabilny numerycznie | Effect of forex changes on cash^3
Model 391| niestabilny numerycznie | Receivables Turnover
Model 392| niestabilny numerycznie | e^{\frac{Shareholders Equity per Share - \overline{Shareholders Equity per Share}}{\sigma_{Shareholders Equity per Share}}}
Model 393| niestabilny numerycznie | Capex to Depreciation
Model 394| niestabilny numerycznie | Earnings Yield^3
Model 395| niestabilny numerycznie | debtEquityRatio^2
Model 396| niestabilny numerycznie | Deposit Liabilities
Model 397| niestabilny numerycznie | Depreciation & Amortization^2
Model 398| niestabilny numerycznie | e^{\frac{Net cash flow / Change in cash - \overline{Net cash flow / Change in cash}}{\sigma_{Net cash flow / Change in cash}}}
Model 399| niestabilny numerycznie | e^{\frac{Revenue Growth - \overline{Revenue Growth}}{\sigma_{Revenue Growth}}}
Model 400| niestabilny numerycznie | e^{\frac{SG&A Expense - \overline{SG&A Expense}}{\sigma_{SG&A Expense}}}
Model 401| niestabilny numerycznie | R&D Expense Growth^3
Model 402| niestabilny numerycznie | EBIT Growth^3
Model 403| niestabilny numerycznie | e^{\frac{returnOnEquity - \overline{returnOnEquity}}{\sigma_{returnOnEquity}}}
Model 404| niestabilny numerycznie | operatingCashFlowSalesRatio
Model 405| niestabilny numerycznie | dividendYield
Model 406| niestabilny numerycznie | dividendpaidAndCapexCoverageRatios
Model 407| niestabilny numerycznie | e^{\frac{EPS Diluted - \overline{EPS Diluted}}{\sigma_{EPS Diluted}}}
Model 408| niestabilny numerycznie | Consolidated Income^2
Model 409| niestabilny numerycznie | Net Cash/Marketcap
Model 410| niestabilny numerycznie | currentRatio^3
Model 411| niestabilny numerycznie | Net Income - Non-Controlling int
Model 412| niestabilny numerycznie | R&D to Revenue
Model 413| niestabilny numerycznie | debtRatio^3
Model 414| niestabilny numerycznie | e^{\frac{Weighted Average Shares Growth - \overline{Weighted Average Shares Growth}}{\sigma_{Weighted Average Shares Growth}}}
Model 415| niestabilny numerycznie | e^{\frac{Days of Inventory on Hand - \overline{Days of Inventory on Hand}}{\sigma_{Days of Inventory on Hand}}}
Model 416| niestabilny numerycznie | Capital Expenditure^2
Model 417| niestabilny numerycznie | Market Cap^3
Model 418| niestabilny numerycznie | Capex to Depreciation^2
Model 419| niestabilny numerycznie | e^{\frac{Debt Growth - \overline{Debt Growth}}{\sigma_{Debt Growth}}}
Model 420| niestabilny numerycznie | Earnings Before Tax Margin^3
Model 421| niestabilny numerycznie | e^{\frac{dividendpaidAndCapexCoverageRatios - \overline{dividendpaidAndCapexCoverageRatios}}{\sigma_{dividendpaidAndCapexCoverageRatios}}}
Model 422| niestabilny numerycznie | Book Value per Share
Model 423| niestabilny numerycznie | fixedAssetTurnover^3
Model 424| niestabilny numerycznie | Short-term investments^2
Model 425| niestabilny numerycznie | Long-term debt^2
Model 426| niestabilny numerycznie | e^{\frac{Financial Services - \overline{Financial Services}}{\sigma_{Financial Services}}}
Model 427| niestabilny numerycznie | Income Tax Expense^2
Model 428| niestabilny numerycznie | Shareholders Equity per Share^3
Model 429| niestabilny numerycznie | Weighted Average Shs Out (Dil)^3
Model 430| niestabilny numerycznie | fixedAssetTurnover^2
Model 431| niestabilny numerycznie | Operating Cash Flow growth
Model 432| niestabilny numerycznie | pretaxProfitMargin
Model 433| niestabilny numerycznie | Total current assets
Model 434| niestabilny numerycznie | e^{\frac{Dividends per Share Growth - \overline{Dividends per Share Growth}}{\sigma_{Dividends per Share Growth}}}
Model 435| niestabilny numerycznie | Dividend Yield^3
Model 436| niestabilny numerycznie | e^{\frac{Consolidated Income - \overline{Consolidated Income}}{\sigma_{Consolidated Income}}}
Model 437| niestabilny numerycznie | Debt Growth
Model 438| niestabilny numerycznie | e^{\frac{ROE - \overline{ROE}}{\sigma_{ROE}}}
Model 439| niestabilny numerycznie | capitalExpenditureCoverageRatios^3
Model 440| niestabilny numerycznie | e^{\frac{Net Debt - \overline{Net Debt}}{\sigma_{Net Debt}}}
Model 441| niestabilny numerycznie | Cash and short-term investments^3
Model 442| niestabilny numerycznie | Depreciation & Amortization
Model 443| niestabilny numerycznie | Property, Plant & Equipment Net^3
Model 444| niestabilny numerycznie | Operating Expenses^2
Model 445| niestabilny numerycznie | EPS Diluted Growth
Model 446| niestabilny numerycznie | e^{\frac{Short-term investments - \overline{Short-term investments}}{\sigma_{Short-term investments}}}
Model 447| niestabilny numerycznie | e^{\frac{Invested Capital - \overline{Invested Capital}}{\sigma_{Invested Capital}}}
Model 448| niestabilny numerycznie | e^{\frac{payoutRatio - \overline{payoutRatio}}{\sigma_{payoutRatio}}}
Model 449| niestabilny numerycznie | totalDebtToCapitalization^2
Model 450| niestabilny numerycznie | Earnings before Tax^2
Model 451| niestabilny numerycznie | Weighted Average Shares Growth
Model 452| niestabilny numerycznie | EPS Diluted Growth^2
Model 453| niestabilny numerycznie | Interest Expense^3
Model 454| niestabilny numerycznie | Free Cash Flow Yield^2
Model 455| niestabilny numerycznie | SG&A to Revenue^2
Model 456| niestabilny numerycznie | R&D Expense Growth^2
Model 457| niestabilny numerycznie | e^{\frac{3Y Revenue Growth (per Share) - \overline{3Y Revenue Growth (per Share)}}{\sigma_{3Y Revenue Growth (per Share)}}}
Model 458| niestabilny numerycznie | inventoryTurnover^2
Model 459| niestabilny numerycznie | 3Y Shareholders Equity Growth (per Share)^2
Model 460| niestabilny numerycznie | e^{\frac{3Y Dividend per Share Growth (per Share) - \overline{3Y Dividend per Share Growth (per Share)}}{\sigma_{3Y Dividend per Share Growth (per Share)}}}
Model 461| niestabilny numerycznie | e^{\frac{Property, Plant & Equipment Net - \overline{Property, Plant & Equipment Net}}{\sigma_{Property, Plant & Equipment Net}}}
Model 462| niestabilny numerycznie | Short-term debt^3
Model 463| niestabilny numerycznie | EPS
Model 464| niestabilny numerycznie | debtEquityRatio^3
Model 465| niestabilny numerycznie | inventoryTurnover^3
Model 466| niestabilny numerycznie | assetTurnover^3
Model 467| niestabilny numerycznie | Net Debt
Model 468| niestabilny numerycznie | Net Income - Non-Controlling int^3
Model 469| niestabilny numerycznie | Dividend payments^3
Model 470| niestabilny numerycznie | Preferred Dividends^3
Model 471| niestabilny numerycznie | PFCF ratio^2
Model 472| niestabilny numerycznie | e^{\frac{grossProfitMargin - \overline{grossProfitMargin}}{\sigma_{grossProfitMargin}}}
Model 473| niestabilny numerycznie | 3Y Revenue Growth (per Share)^2
Model 474| niestabilny numerycznie | Other comprehensive income
Model 475| niestabilny numerycznie | e^{\frac{Capex to Operating Cash Flow - \overline{Capex to Operating Cash Flow}}{\sigma_{Capex to Operating Cash Flow}}}
Model 476| niestabilny numerycznie | Investment purchases and sales
Model 477| niestabilny numerycznie | e^{\frac{Free Cash Flow - \overline{Free Cash Flow}}{\sigma_{Free Cash Flow}}}
Model 478| niestabilny numerycznie | Capex per Share^2
Model 479| niestabilny numerycznie | Free Cash Flow growth^3
Model 480| niestabilny numerycznie | Cash and cash equivalents
Model 481| niestabilny numerycznie | Other Assets
Model 482| niestabilny numerycznie | Revenue^2
Model 483| niestabilny numerycznie | Shareholders Equity per Share
Model 484| niestabilny numerycznie | Short-term investments
Model 485| niestabilny numerycznie | Weighted Average Shs Out^2
Model 486| niestabilny numerycznie | Interest Expense
Model 487| niestabilny numerycznie | R&D to Revenue^3
Model 488| niestabilny numerycznie | e^{\frac{Net Income Growth - \overline{Net Income Growth}}{\sigma_{Net Income Growth}}}
Model 489| niestabilny numerycznie | e^{\frac{Investment purchases and sales - \overline{Investment purchases and sales}}{\sigma_{Investment purchases and sales}}}
Model 490| niestabilny numerycznie | Cash and cash equivalents^3
Model 491| niestabilny numerycznie | Operating Cash Flow growth^2
Model 492| niestabilny numerycznie | Days of Inventory on Hand
Model 493| niestabilny numerycznie | e^{\frac{Receivables Turnover - \overline{Receivables Turnover}}{\sigma_{Receivables Turnover}}}
Model 494| niestabilny numerycznie | Capex to Revenue
Model 495| niestabilny numerycznie | e^{\frac{Receivables growth - \overline{Receivables growth}}{\sigma_{Receivables growth}}}
Model 496| niestabilny numerycznie | Operating Cash Flow per Share^2
Model 497| niestabilny numerycznie | e^{\frac{Financing Cash Flow - \overline{Financing Cash Flow}}{\sigma_{Financing Cash Flow}}}
Model 498| niestabilny numerycznie | Short-term debt^2
Model 499| niestabilny numerycznie | dividendYield^2
Model 500| niestabilny numerycznie | e^{\frac{Long-term debt - \overline{Long-term debt}}{\sigma_{Long-term debt}}}
Model 501| niestabilny numerycznie | netProfitMargin^3
Model 502| niestabilny numerycznie | dividendYield^3
Model 503| niestabilny numerycznie | Consolidated Income
Model 504| niestabilny numerycznie | e^{\frac{longtermDebtToCapitalization - \overline{longtermDebtToCapitalization}}{\sigma_{longtermDebtToCapitalization}}}
Model 505| niestabilny numerycznie | payablesTurnover
Model 506| niestabilny numerycznie | Interest Coverage^2
Model 507| niestabilny numerycznie | Weighted Average Shares Growth^3
Model 508| niestabilny numerycznie | e^{\frac{Free Cash Flow growth - \overline{Free Cash Flow growth}}{\sigma_{Free Cash Flow growth}}}
Model 509| niestabilny numerycznie | eBITperRevenue^2
Model 510| niestabilny numerycznie | e^{\frac{Inventory Turnover - \overline{Inventory Turnover}}{\sigma_{Inventory Turnover}}}
Model 511| niestabilny numerycznie | operatingCashFlowSalesRatio^2
Model 512| niestabilny numerycznie | priceToSalesRatio
Model 513| niestabilny numerycznie | Payables Turnover^3
Model 514| niestabilny numerycznie | Issuance (repayment) of debt^3
Model 515| niestabilny numerycznie | e^{\frac{Operating Income Growth - \overline{Operating Income Growth}}{\sigma_{Operating Income Growth}}}
Model 516| niestabilny numerycznie | Cost of Revenue^2
Model 517| niestabilny numerycznie | EBITDA^3
Model 518| niestabilny numerycznie | daysOfPayablesOutstanding^2
Model 519| niestabilny numerycznie | e^{\frac{Tangible Book Value per Share - \overline{Tangible Book Value per Share}}{\sigma_{Tangible Book Value per Share}}}
Model 520| niestabilny numerycznie | Issuance (repayment) of debt^2
Model 521| niestabilny numerycznie | e^{\frac{ebitperRevenue - \overline{ebitperRevenue}}{\sigma_{ebitperRevenue}}}
Model 522| niestabilny numerycznie | e^{\frac{Consumer Cyclical - \overline{Consumer Cyclical}}{\sigma_{Consumer Cyclical}}}
Model 523| niestabilny numerycznie | Stock-based compensation^3
Model 524| niestabilny numerycznie | PE ratio^3
Model 525| niestabilny numerycznie | Tangible Book Value per Share^2
Model 526| niestabilny numerycznie | Income Tax Expense^3
Model 527| niestabilny numerycznie | Gross Margin
Model 528| niestabilny numerycznie | Graham Net-Net^2
Model 529| niestabilny numerycznie | Gross Profit
Model 530| niestabilny numerycznie | Receivables growth^2
Model 531| niestabilny numerycznie | e^{\frac{Revenue - \overline{Revenue}}{\sigma_{Revenue}}}
Model 532| niestabilny numerycznie | Total current assets^3
Model 533| niestabilny numerycznie | e^{\frac{debtRatio - \overline{debtRatio}}{\sigma_{debtRatio}}}
Model 534| niestabilny numerycznie | Shareholders Equity per Share^2
Model 535| niestabilny numerycznie | e^{\frac{Gross Margin - \overline{Gross Margin}}{\sigma_{Gross Margin}}}
Model 536| niestabilny numerycznie | Total current liabilities^3
Model 537| niestabilny numerycznie | Effect of forex changes on cash
Model 538| niestabilny numerycznie | e^{\frac{debtEquityRatio - \overline{debtEquityRatio}}{\sigma_{debtEquityRatio}}}
Model 539| niestabilny numerycznie | e^{\frac{Profit Margin - \overline{Profit Margin}}{\sigma_{Profit Margin}}}
Model 540| niestabilny numerycznie | Long-term investments^3
Model 541| niestabilny numerycznie | e^{\frac{priceEarningsRatio - \overline{priceEarningsRatio}}{\sigma_{priceEarningsRatio}}}
Model 542| niestabilny numerycznie | Net cash flow / Change in cash^2
Model 543| niestabilny numerycznie | Net cash flow / Change in cash^3
Model 544| niestabilny numerycznie | Dividend payments
Model 545| niestabilny numerycznie | Healthcare
Model 546| niestabilny numerycznie | Gross Profit Growth^3
Model 547| niestabilny numerycznie | Days Payables Outstanding
Model 548| niestabilny numerycznie | e^{\frac{EBITDA Margin - \overline{EBITDA Margin}}{\sigma_{EBITDA Margin}}}
Model 549| niestabilny numerycznie | Tax assets^3
Model 550| niestabilny numerycznie | e^{\frac{Capital Expenditure - \overline{Capital Expenditure}}{\sigma_{Capital Expenditure}}}
Model 551| niestabilny numerycznie | Issuance (buybacks) of shares
Model 552| niestabilny numerycznie | Total debt
Model 553| niestabilny numerycznie | e^{\frac{Net Income per Share - \overline{Net Income per Share}}{\sigma_{Net Income per Share}}}
Model 554| niestabilny numerycznie | e^{\frac{fixedAssetTurnover - \overline{fixedAssetTurnover}}{\sigma_{fixedAssetTurnover}}}
Model 555| niestabilny numerycznie | R&D Expense Growth
Model 556| niestabilny numerycznie | e^{\frac{Interest Debt per Share - \overline{Interest Debt per Share}}{\sigma_{Interest Debt per Share}}}
Model 557| niestabilny numerycznie | Net Income Growth^2
Model 558| niestabilny numerycznie | operatingCashFlowPerShare
Model 559| niestabilny numerycznie | Revenue^3
Model 560| niestabilny numerycznie | priceToSalesRatio^2
Model 561| niestabilny numerycznie | cashRatio^3
Model 562| niestabilny numerycznie | Investments
Model 563| niestabilny numerycznie | 3Y Dividend per Share Growth (per Share)^3
Model 564| niestabilny numerycznie | Tangible Book Value per Share^3
Model 565| niestabilny numerycznie | e^{\frac{netProfitMargin - \overline{netProfitMargin}}{\sigma_{netProfitMargin}}}
Model 566| niestabilny numerycznie | Free Cash Flow per Share^2
Model 567| niestabilny numerycznie | ebitperRevenue
Model 568| niestabilny numerycznie | Capex to Operating Cash Flow
Model 569| niestabilny numerycznie | e^{\frac{Net Debt to EBITDA - \overline{Net Debt to EBITDA}}{\sigma_{Net Debt to EBITDA}}}
Model 570| niestabilny numerycznie | Gross Profit^2
Model 571| niestabilny numerycznie | EBITDA
Model 572| niestabilny numerycznie | Stock-based compensation
Model 573| niestabilny numerycznie | e^{\frac{Industrials - \overline{Industrials}}{\sigma_{Industrials}}}
Model 574| niestabilny numerycznie | Revenue Growth^2
Model 575| niestabilny numerycznie | e^{\frac{priceToSalesRatio - \overline{priceToSalesRatio}}{\sigma_{priceToSalesRatio}}}
Model 576| niestabilny numerycznie | Free Cash Flow growth
Model 577| niestabilny numerycznie | Dividends per Share Growth^3
Model 578| niestabilny numerycznie | grossProfitMargin^3
Model 579| niestabilny numerycznie | e^{\frac{EBIT Margin - \overline{EBIT Margin}}{\sigma_{EBIT Margin}}}
Model 580| niestabilny numerycznie | interestCoverage^2
Model 581| niestabilny numerycznie | Average Receivables^3
Model 582| niestabilny numerycznie | Book Value per Share Growth
Model 583| niestabilny numerycznie | totalDebtToCapitalization
Model 584| niestabilny numerycznie | Stock-based compensation to Revenue^3
Model 585| niestabilny numerycznie | payablesTurnover^2
Model 586| niestabilny numerycznie | e^{\frac{Gross Profit - \overline{Gross Profit}}{\sigma_{Gross Profit}}}
Model 587| niestabilny numerycznie | Free Cash Flow^2
Model 588| niestabilny numerycznie | SG&A Expense^2
Model 589| niestabilny numerycznie | Operating Cash Flow per Share^3
Model 590| niestabilny numerycznie | priceEarningsRatio^2
Model 591| niestabilny numerycznie | R&D Expenses^3
Model 592| niestabilny numerycznie | e^{\frac{R&D Expense Growth - \overline{R&D Expense Growth}}{\sigma_{R&D Expense Growth}}}
Model 593| niestabilny numerycznie | Receivables^3
Model 594| niestabilny numerycznie | Acquisitions and disposals
Model 595| niestabilny numerycznie | Net Debt to EBITDA^2
Model 596| niestabilny numerycznie | Days Sales Outstanding^2
Model 597| niestabilny numerycznie | PE ratio^2
Model 598| niestabilny numerycznie | Total current assets^2
Model 599| niestabilny numerycznie | ROE^3
Model 600| niestabilny numerycznie | freeCashFlowPerShare^3
Model 601| niestabilny numerycznie | Payout Ratio
Model 602| niestabilny numerycznie | Debt Growth^3
Model 603| niestabilny numerycznie | Receivables
Model 604| niestabilny numerycznie | e^{\frac{Weighted Average Shares Diluted Growth - \overline{Weighted Average Shares Diluted Growth}}{\sigma_{Weighted Average Shares Diluted Growth}}}
Model 605| niestabilny numerycznie | e^{\frac{Book Value per Share Growth - \overline{Book Value per Share Growth}}{\sigma_{Book Value per Share Growth}}}
Model 606| niestabilny numerycznie | Property, Plant & Equipment Net
Model 607| niestabilny numerycznie | Investment purchases and sales^2
Model 608| niestabilny numerycznie | e^{\frac{Net Income - \overline{Net Income}}{\sigma_{Net Income}}}
Model 609| niestabilny numerycznie | e^{\frac{Inventory Growth - \overline{Inventory Growth}}{\sigma_{Inventory Growth}}}
Model 610| niestabilny numerycznie | Weighted Average Shs Out (Dil)
Model 611| niestabilny numerycznie | priceToOperatingCashFlowsRatio^2
Model 612| niestabilny numerycznie | Net Income per Share^3
Model 613| niestabilny numerycznie | assetTurnover^2
Model 614| niestabilny numerycznie | e^{\frac{cashRatio - \overline{cashRatio}}{\sigma_{cashRatio}}}
Model 615| niestabilny numerycznie | e^{\frac{Technology - \overline{Technology}}{\sigma_{Technology}}}
Model 616| niestabilny numerycznie | Operating Income^3
Model 617| niestabilny numerycznie | e^{\frac{Net Income - Discontinued ops - \overline{Net Income - Discontinued ops}}{\sigma_{Net Income - Discontinued ops}}}
Model 618| niestabilny numerycznie | Operating Cash Flow per Share
Model 619| niestabilny numerycznie | Receivables Turnover^3
Model 620| niestabilny numerycznie | 3Y Operating CF Growth (per Share)^2
Model 621| niestabilny numerycznie | Price to Sales Ratio^2
Model 622| niestabilny numerycznie | Inventory Turnover^2
Model 623| niestabilny numerycznie | e^{\frac{dividendYield - \overline{dividendYield}}{\sigma_{dividendYield}}}
Model 624| niestabilny numerycznie | e^{\frac{Stock-based compensation to Revenue - \overline{Stock-based compensation to Revenue}}{\sigma_{Stock-based compensation to Revenue}}}
Model 625| niestabilny numerycznie | payablesTurnover^3
Model 626| niestabilny numerycznie | Stock-based compensation^2
Model 627| niestabilny numerycznie | priceFairValue^3
Model 628| niestabilny numerycznie | e^{\frac{Total current assets - \overline{Total current assets}}{\sigma_{Total current assets}}}
Model 629| niestabilny numerycznie | Debt to Assets
Model 630| niestabilny numerycznie | 3Y Shareholders Equity Growth (per Share)
Model 631| niestabilny numerycznie | e^{\frac{Issuance (buybacks) of shares - \overline{Issuance (buybacks) of shares}}{\sigma_{Issuance (buybacks) of shares}}}
Model 632| niestabilny numerycznie | Price to Sales Ratio^3
Model 633| niestabilny numerycznie | e^{\frac{Dividend payments - \overline{Dividend payments}}{\sigma_{Dividend payments}}}
Model 634| niestabilny numerycznie | debtRatio
Model 635| niestabilny numerycznie | SG&A to Revenue
Model 636| niestabilny numerycznie | e^{\frac{Net Cash/Marketcap - \overline{Net Cash/Marketcap}}{\sigma_{Net Cash/Marketcap}}}
Model 637| niestabilny numerycznie | quickRatio
Model 638| niestabilny numerycznie | Graham Net-Net
Model 639| niestabilny numerycznie | priceFairValue^2
Model 640| niestabilny numerycznie | Operating Income^2
Model 641| niestabilny numerycznie | Profit Margin
Model 642| niestabilny numerycznie | e^{\frac{interestCoverage - \overline{interestCoverage}}{\sigma_{interestCoverage}}}
Model 643| niestabilny numerycznie | longtermDebtToCapitalization^2
Model 644| niestabilny numerycznie | daysOfSalesOutstanding^2
Model 645| niestabilny numerycznie | Goodwill and Intangible Assets
Model 646| niestabilny numerycznie | Income Quality^2
Model 647| niestabilny numerycznie | Retained earnings (deficit)^3
Model 648| niestabilny numerycznie | e^{\frac{Long-term investments - \overline{Long-term investments}}{\sigma_{Long-term investments}}}
Model 649| niestabilny numerycznie | ROE
Model 650| niestabilny numerycznie | priceEarningsRatio^3
Model 651| niestabilny numerycznie | PFCF ratio
Model 652| niestabilny numerycznie | e^{\frac{Interest Expense - \overline{Interest Expense}}{\sigma_{Interest Expense}}}
Model 653| niestabilny numerycznie | currentRatio^2
Model 654| niestabilny numerycznie | Capital Expenditure
Model 655| niestabilny numerycznie | e^{\frac{daysOfInventoryOutstanding - \overline{daysOfInventoryOutstanding}}{\sigma_{daysOfInventoryOutstanding}}}
Model 656| niestabilny numerycznie | longtermDebtToCapitalization^3
Model 657| niestabilny numerycznie | e^{\frac{EBIT - \overline{EBIT}}{\sigma_{EBIT}}}
Model 658| niestabilny numerycznie | Operating Income
Model 659| niestabilny numerycznie | e^{\frac{Total current liabilities - \overline{Total current liabilities}}{\sigma_{Total current liabilities}}}
Model 660| niestabilny numerycznie | e^{\frac{Earnings Yield - \overline{Earnings Yield}}{\sigma_{Earnings Yield}}}
Model 661| niestabilny numerycznie | Communication Services
Model 662| niestabilny numerycznie | EPS Diluted^3
Model 663| niestabilny numerycznie | Payables^2
Model 664| niestabilny numerycznie | Operating Expenses
Model 665| niestabilny numerycznie | Other comprehensive income^2
Model 666| niestabilny numerycznie | Interest Coverage^3
Model 667|0.1228994305338061|38.67257311220614|4/10|63|Net Current Asset Value^3|38.60861761443756|41.62318225668445
Model 667| niestabilny numerycznie | Dividend Yield^2
Model 668|0.0787795779495696|38.478894369056036|4/10|62|Net Current Asset Value^3|38.60864719280152|40.986715867992366
Model 668 with autocorr|0.8572313515395971|40.320489091071536|4/10|62|Net Current Asset Value^3|38.57530702458759|65.29384633799036
Model 668| niestabilny numerycznie | Stock-based compensation to Revenue^2
Model 669|0.05017649473184738|38.566776783559305|4/10|61|Net Current Asset Value^3|38.60864996208556|40.724333904531946
Model 669 with autocorr|0.1243166080299496|38.59906621736121|4/10|61|Net Current Asset Value^3|38.569643572175536|66.24135322489087
Model 669| niestabilny numerycznie | e^{\frac{SG&A Expenses Growth - \overline{SG&A Expenses Growth}}{\sigma_{SG&A Expenses Growth}}}
Model 670| niestabilny numerycznie | Asset Growth
Model 671|0.04190525718180781|38.190699765501854|4/10|59|Net Current Asset Value^3|38.608363959904366|39.81409484321203
Model 671 with autocorr|0.40664068342583376|39.00243709939545|4/10|59|Net Current Asset Value^3|38.57471309871193|56.528348563806645
Model 671| niestabilny numerycznie | Net Current Asset Value^3
Model 672| niestabilny numerycznie | EPS Diluted
Model 673|0.011252807751979274|38.01268487865132|4/10|57|Goodwill and Intangible Assets^3|38.451466201447715|40.695866125723974
Model 673 with autocorr|0.023419138067639726|37.88260962077483|5/10|57|Goodwill and Intangible Assets^3|38.36314014038891|48.79044979820078
Model 673| niestabilny numerycznie | Cash and short-term investments^2
Model 674|0.1901521163287861|43.1821678818701|4/10|56|Goodwill and Intangible Assets^3|38.4651393774916|44.855403082626175
Model 674 with autocorr|0.11654763458376555|41.04652373873122|4/10|56|Goodwill and Intangible Assets^3|38.412434921511675|102.75776290908762
Model 674| niestabilny numerycznie | Other comprehensive income^3
Model 675|0.06890447126224591|40.416518794949724|4/10|55|Goodwill and Intangible Assets^3|38.377051293377576|44.31988412810765
Model 675| niestabilny numerycznie | e^{\frac{Average Payables - \overline{Average Payables}}{\sigma_{Average Payables}}}
Model 676| niestabilny numerycznie | returnOnEquity
Model 677| niestabilny numerycznie | e^{\frac{SG&A to Revenue - \overline{SG&A to Revenue}}{\sigma_{SG&A to Revenue}}}
Model 678| niestabilny numerycznie | EBITDA Margin^3
Model 679| niestabilny numerycznie | Net Income^2
Model 680| niestabilny numerycznie | e^{\frac{EPS - \overline{EPS}}{\sigma_{EPS}}}
Model 681| niestabilny numerycznie | e^{\frac{companyEquityMultiplier - \overline{companyEquityMultiplier}}{\sigma_{companyEquityMultiplier}}}
Model 682|0.668984848299173|41.29933886963792|3/10|48|Goodwill and Intangible Assets^3|38.514362375594104|40.00325055489894
Model 682 with autocorr|0.006469699208539812|37.90917178507754|4/10|48|Goodwill and Intangible Assets^3|38.69421003657363|63.70600439175986
Model 682 with heteroskedacity|0.9995388282892486|0.9801976548706968|5/10|48|Capital Expenditure^3|8.34973314822209|39.47497037601465
Model 682 with heteroskedacity_and_autocorr|0.9995388698662127|0.9801956531960435|5/10|48|Capital Expenditure^3|8.359760086801284|39.47516851163487
Model 683| niestabilny numerycznie | e^{\frac{Cost of Revenue - \overline{Cost of Revenue}}{\sigma_{Cost of Revenue}}}
Model 684| niestabilny numerycznie | Debt to Equity^2
Model 685| niestabilny numerycznie | e^{\frac{Issuance (repayment) of debt - \overline{Issuance (repayment) of debt}}{\sigma_{Issuance (repayment) of debt}}}
Model 686| niestabilny numerycznie | e^{\frac{Total debt - \overline{Total debt}}{\sigma_{Total debt}}}
Model 687| niestabilny numerycznie | Preferred Dividends^2
Model 688| niestabilny numerycznie | daysOfSalesOutstanding
Model 689|0.2413999289521194|39.42747217057508|3/10|41|Capital Expenditure^3|38.42818454127682|39.05130838705112
Model 689 with autocorr|0.006255710511958183|37.94371509204096|4/10|41|Capital Expenditure^3|38.53957247813734|65.88244349391277
Model 689 with heteroskedacity|0.998667299762697|0.9842364842003447|5/10|41|Capital Expenditure^3|20.679170348225277|37.880178218830814
Model 689 with heteroskedacity_and_autocorr|0.9986696642090025|0.98425909737529|5/10|41|Capital Expenditure^3|20.71162469729372|37.881222535660285
Model 690|0.01897357781297552|38.26050300136687|4/10|40|EBIT^3|38.42536700229213|42.140956736763655
Model 690 with autocorr|0.0058988722285539495|37.827540743805635|4/10|40|EBIT^3|38.40253473920778|65.2319698406738
Model 690 with heteroskedacity|0.9998669451547291|0.9847633331742679|5/10|40|EBIT^3|8.221187527129077|41.6465991730726
Model 690 with heteroskedacity_and_autocorr|0.9998669619663383|0.9847678103481851|5/10|40|EBIT^3|8.113519239121283|41.64661370213342
Model 691|0.006967258819704515|37.9352417187411|4/10|39|Net Income Com^3|38.429286668942595|40.885596719615506
Model 691 with autocorr|0.005922621902966439|37.8146938409466|4/10|39|Net Income Com^3|38.39253775143072|65.39420674459768
Model 691| niestabilny numerycznie | Retained earnings (deficit)^2
Model 692|0.005859224034079409|37.87359918858546|4/10|38|Net Income Com^3|38.40865114153655|39.030457477010295
Model 692 with autocorr|0.005892954426197108|37.82208263009302|4/10|38|Net Income Com^3|38.36784942299657|65.10949921734552
Model 692| niestabilny numerycznie | e^{\frac{Income Quality - \overline{Income Quality}}{\sigma_{Income Quality}}}
Model 693|0.00562508423686164|37.88642397661216|4/10|37|Net Income Com^3|38.40865114153662|40.1316956095085
Model 693 with autocorr|0.005745808334165331|37.83370526114849|4/10|37|Net Income Com^3|38.36786329468396|65.04574728331761
Model 693| niestabilny numerycznie | operatingCashFlowPerShare^3
Model 694|0.007854567313376337|37.976774309868546|3/10|36|Net Income Com^3|38.40539427564569|38.62271551288417
Model 694 with autocorr|0.005748371525145178|37.83692407312035|4/10|36|Net Income Com^3|38.36736503854638|66.2089728053464
Model 694 with heteroskedacity|0.9999773857060468|0.9856492431934092|5/10|36|Net Income Com^3|12.42931478553766|37.87894095762942
Model 694 with heteroskedacity_and_autocorr|0.9999887492344546|0.9856410282590929|5/10|36|Net Income Com^3|12.449996655772305|37.87954209824684
Model 695|0.00645943382551861|37.94162564970799|4/10|35|Total assets^2|9511956.849572439|39.96463812859132
Model 695 with autocorr|0.005600768346556498|37.85801208397897|4/10|35|Net Debt^2|10007492.375725187|65.3391855183011
Model 695 with heteroskedacity|0.9996546369908469|0.9852364636837175|5/10|35|Goodwill and Intangible Assets^2|109568080.13391216|39.031641613015395
