Model|R2 Score|MAE Score|Correctness|Vars|Dropping|MaeCV|Mae POST
Model 1| niestabilny numerycznie | e^{\frac{Effect of forex changes on cash - \overline{Effect of forex changes on cash}}{\sigma_{Effect of forex changes on cash}}}
Model 383| niestabilny numerycznie | e^{\frac{assetTurnover - \overline{assetTurnover}}{\sigma_{assetTurnover}}}
Model 384| niestabilny numerycznie | Net Debt to EBITDA
Model 385| niestabilny numerycznie | Market Cap
Model 386| niestabilny numerycznie | Invested Capital^3
Model 387| niestabilny numerycznie | Free Cash Flow per Share^3
Model 388| niestabilny numerycznie | e^{\frac{Operating Cash Flow per Share - \overline{Operating Cash Flow per Share}}{\sigma_{Operating Cash Flow per Share}}}
Model 389| niestabilny numerycznie | Dividend payments^2
Model 390| niestabilny numerycznie | Effect of forex changes on cash^3
Model 391| niestabilny numerycznie | Receivables Turnover
Model 392| niestabilny numerycznie | e^{\frac{Shareholders Equity per Share - \overline{Shareholders Equity per Share}}{\sigma_{Shareholders Equity per Share}}}
Model 393| niestabilny numerycznie | Capex to Depreciation
Model 394| niestabilny numerycznie | Earnings Yield^3
Model 395| niestabilny numerycznie | debtEquityRatio^2
Model 396| niestabilny numerycznie | Deposit Liabilities
Model 397| niestabilny numerycznie | Depreciation & Amortization^2
Model 398| niestabilny numerycznie | e^{\frac{Net cash flow / Change in cash - \overline{Net cash flow / Change in cash}}{\sigma_{Net cash flow / Change in cash}}}
Model 399| niestabilny numerycznie | e^{\frac{Revenue Growth - \overline{Revenue Growth}}{\sigma_{Revenue Growth}}}
Model 400| niestabilny numerycznie | e^{\frac{SG&A Expense - \overline{SG&A Expense}}{\sigma_{SG&A Expense}}}
Model 401| niestabilny numerycznie | R&D Expense Growth^3
Model 402| niestabilny numerycznie | EBIT Growth^3
Model 403| niestabilny numerycznie | e^{\frac{returnOnEquity - \overline{returnOnEquity}}{\sigma_{returnOnEquity}}}
Model 404| niestabilny numerycznie | operatingCashFlowSalesRatio
Model 405| niestabilny numerycznie | dividendYield
Model 406| niestabilny numerycznie | dividendpaidAndCapexCoverageRatios
Model 407| niestabilny numerycznie | e^{\frac{EPS Diluted - \overline{EPS Diluted}}{\sigma_{EPS Diluted}}}
Model 408| niestabilny numerycznie | Consolidated Income^2
Model 409| niestabilny numerycznie | Net Cash/Marketcap
Model 410| niestabilny numerycznie | currentRatio^3
Model 411| niestabilny numerycznie | Net Income - Non-Controlling int
Model 412| niestabilny numerycznie | R&D to Revenue
Model 413| niestabilny numerycznie | debtRatio^3
Model 414| niestabilny numerycznie | e^{\frac{Weighted Average Shares Growth - \overline{Weighted Average Shares Growth}}{\sigma_{Weighted Average Shares Growth}}}
Model 415| niestabilny numerycznie | e^{\frac{Days of Inventory on Hand - \overline{Days of Inventory on Hand}}{\sigma_{Days of Inventory on Hand}}}
Model 416| niestabilny numerycznie | Capital Expenditure^2
Model 417| niestabilny numerycznie | Market Cap^3
Model 418| niestabilny numerycznie | Capex to Depreciation^2
Model 419| niestabilny numerycznie | e^{\frac{Debt Growth - \overline{Debt Growth}}{\sigma_{Debt Growth}}}
Model 420| niestabilny numerycznie | Earnings Before Tax Margin^3
Model 421| niestabilny numerycznie | e^{\frac{dividendpaidAndCapexCoverageRatios - \overline{dividendpaidAndCapexCoverageRatios}}{\sigma_{dividendpaidAndCapexCoverageRatios}}}
Model 422| niestabilny numerycznie | Book Value per Share
Model 423| niestabilny numerycznie | fixedAssetTurnover^3
Model 424| niestabilny numerycznie | Short-term investments^2
Model 425| niestabilny numerycznie | Long-term debt^2
Model 426| niestabilny numerycznie | e^{\frac{Financial Services - \overline{Financial Services}}{\sigma_{Financial Services}}}
Model 427| niestabilny numerycznie | Income Tax Expense^2
Model 428| niestabilny numerycznie | Shareholders Equity per Share^3
Model 429| niestabilny numerycznie | Weighted Average Shs Out (Dil)^3
Model 430| niestabilny numerycznie | fixedAssetTurnover^2
Model 431| niestabilny numerycznie | Operating Cash Flow growth
Model 432| niestabilny numerycznie | pretaxProfitMargin
Model 433| niestabilny numerycznie | Total current assets
Model 434| niestabilny numerycznie | e^{\frac{Dividends per Share Growth - \overline{Dividends per Share Growth}}{\sigma_{Dividends per Share Growth}}}
Model 435| niestabilny numerycznie | Dividend Yield^3
Model 436| niestabilny numerycznie | e^{\frac{Consolidated Income - \overline{Consolidated Income}}{\sigma_{Consolidated Income}}}
Model 437| niestabilny numerycznie | Debt Growth
Model 438| niestabilny numerycznie | e^{\frac{ROE - \overline{ROE}}{\sigma_{ROE}}}
Model 439| niestabilny numerycznie | capitalExpenditureCoverageRatios^3
Model 440| niestabilny numerycznie | e^{\frac{Net Debt - \overline{Net Debt}}{\sigma_{Net Debt}}}
Model 441| niestabilny numerycznie | Cash and short-term investments^3
Model 442| niestabilny numerycznie | Depreciation & Amortization
Model 443| niestabilny numerycznie | Property, Plant & Equipment Net^3
Model 444| niestabilny numerycznie | Operating Expenses^2
Model 445| niestabilny numerycznie | EPS Diluted Growth
Model 446| niestabilny numerycznie | e^{\frac{Short-term investments - \overline{Short-term investments}}{\sigma_{Short-term investments}}}
Model 447| niestabilny numerycznie | e^{\frac{Invested Capital - \overline{Invested Capital}}{\sigma_{Invested Capital}}}
Model 448| niestabilny numerycznie | e^{\frac{payoutRatio - \overline{payoutRatio}}{\sigma_{payoutRatio}}}
Model 449| niestabilny numerycznie | totalDebtToCapitalization^2
Model 450| niestabilny numerycznie | Earnings before Tax^2
Model 451| niestabilny numerycznie | Weighted Average Shares Growth
Model 452| niestabilny numerycznie | EPS Diluted Growth^2
Model 453| niestabilny numerycznie | Interest Expense^3
Model 454| niestabilny numerycznie | Free Cash Flow Yield^2
Model 455| niestabilny numerycznie | SG&A to Revenue^2
Model 456| niestabilny numerycznie | R&D Expense Growth^2
Model 457| niestabilny numerycznie | e^{\frac{3Y Revenue Growth (per Share) - \overline{3Y Revenue Growth (per Share)}}{\sigma_{3Y Revenue Growth (per Share)}}}
Model 458| niestabilny numerycznie | inventoryTurnover^2
Model 459| niestabilny numerycznie | 3Y Shareholders Equity Growth (per Share)^2
Model 460| niestabilny numerycznie | e^{\frac{3Y Dividend per Share Growth (per Share) - \overline{3Y Dividend per Share Growth (per Share)}}{\sigma_{3Y Dividend per Share Growth (per Share)}}}
Model 461| niestabilny numerycznie | e^{\frac{Property, Plant & Equipment Net - \overline{Property, Plant & Equipment Net}}{\sigma_{Property, Plant & Equipment Net}}}
Model 462| niestabilny numerycznie | Short-term debt^3
Model 463| niestabilny numerycznie | EPS
Model 464| niestabilny numerycznie | debtEquityRatio^3
Model 465| niestabilny numerycznie | inventoryTurnover^3
Model 466| niestabilny numerycznie | assetTurnover^3
Model 467| niestabilny numerycznie | Net Debt
Model 468| niestabilny numerycznie | Net Income - Non-Controlling int^3
Model 469| niestabilny numerycznie | Dividend payments^3
Model 470| niestabilny numerycznie | Preferred Dividends^3
Model 471| niestabilny numerycznie | PFCF ratio^2
Model 472| niestabilny numerycznie | e^{\frac{grossProfitMargin - \overline{grossProfitMargin}}{\sigma_{grossProfitMargin}}}
Model 473| niestabilny numerycznie | 3Y Revenue Growth (per Share)^2
Model 474| niestabilny numerycznie | Other comprehensive income
Model 475| niestabilny numerycznie | e^{\frac{Capex to Operating Cash Flow - \overline{Capex to Operating Cash Flow}}{\sigma_{Capex to Operating Cash Flow}}}
Model 476| niestabilny numerycznie | Investment purchases and sales
Model 477| niestabilny numerycznie | e^{\frac{Free Cash Flow - \overline{Free Cash Flow}}{\sigma_{Free Cash Flow}}}
Model 478| niestabilny numerycznie | Capex per Share^2
Model 479| niestabilny numerycznie | Free Cash Flow growth^3
Model 480| niestabilny numerycznie | Cash and cash equivalents
Model 481| niestabilny numerycznie | Other Assets
Model 482| niestabilny numerycznie | Revenue^2
Model 483| niestabilny numerycznie | Shareholders Equity per Share
Model 484| niestabilny numerycznie | Short-term investments
Model 485| niestabilny numerycznie | Weighted Average Shs Out^2
Model 486| niestabilny numerycznie | Interest Expense
Model 487| niestabilny numerycznie | R&D to Revenue^3
Model 488| niestabilny numerycznie | e^{\frac{Net Income Growth - \overline{Net Income Growth}}{\sigma_{Net Income Growth}}}
Model 489| niestabilny numerycznie | e^{\frac{Investment purchases and sales - \overline{Investment purchases and sales}}{\sigma_{Investment purchases and sales}}}
Model 490| niestabilny numerycznie | Cash and cash equivalents^3
Model 491| niestabilny numerycznie | Operating Cash Flow growth^2
Model 492| niestabilny numerycznie | Days of Inventory on Hand
Model 493| niestabilny numerycznie | e^{\frac{Receivables Turnover - \overline{Receivables Turnover}}{\sigma_{Receivables Turnover}}}
Model 494| niestabilny numerycznie | Capex to Revenue
Model 495| niestabilny numerycznie | e^{\frac{Receivables growth - \overline{Receivables growth}}{\sigma_{Receivables growth}}}
Model 496| niestabilny numerycznie | Operating Cash Flow per Share^2
Model 497| niestabilny numerycznie | e^{\frac{Financing Cash Flow - \overline{Financing Cash Flow}}{\sigma_{Financing Cash Flow}}}
Model 498| niestabilny numerycznie | Short-term debt^2
Model 499| niestabilny numerycznie | dividendYield^2
Model 500| niestabilny numerycznie | e^{\frac{Long-term debt - \overline{Long-term debt}}{\sigma_{Long-term debt}}}
Model 501| niestabilny numerycznie | netProfitMargin^3
Model 502| niestabilny numerycznie | dividendYield^3
Model 503| niestabilny numerycznie | Consolidated Income
Model 504| niestabilny numerycznie | e^{\frac{longtermDebtToCapitalization - \overline{longtermDebtToCapitalization}}{\sigma_{longtermDebtToCapitalization}}}
Model 505| niestabilny numerycznie | payablesTurnover
Model 506| niestabilny numerycznie | Interest Coverage^2
Model 507| niestabilny numerycznie | Weighted Average Shares Growth^3
Model 508| niestabilny numerycznie | e^{\frac{Free Cash Flow growth - \overline{Free Cash Flow growth}}{\sigma_{Free Cash Flow growth}}}
Model 509| niestabilny numerycznie | eBITperRevenue^2
Model 510| niestabilny numerycznie | e^{\frac{Inventory Turnover - \overline{Inventory Turnover}}{\sigma_{Inventory Turnover}}}
Model 511| niestabilny numerycznie | operatingCashFlowSalesRatio^2
Model 512| niestabilny numerycznie | priceToSalesRatio
Model 513| niestabilny numerycznie | Payables Turnover^3
Model 514| niestabilny numerycznie | Issuance (repayment) of debt^3
Model 515| niestabilny numerycznie | e^{\frac{Operating Income Growth - \overline{Operating Income Growth}}{\sigma_{Operating Income Growth}}}
Model 516| niestabilny numerycznie | Cost of Revenue^2
Model 517| niestabilny numerycznie | EBITDA^3
Model 518| niestabilny numerycznie | daysOfPayablesOutstanding^2
Model 519| niestabilny numerycznie | e^{\frac{Tangible Book Value per Share - \overline{Tangible Book Value per Share}}{\sigma_{Tangible Book Value per Share}}}
Model 520| niestabilny numerycznie | Issuance (repayment) of debt^2
Model 521| niestabilny numerycznie | e^{\frac{ebitperRevenue - \overline{ebitperRevenue}}{\sigma_{ebitperRevenue}}}
Model 522| niestabilny numerycznie | e^{\frac{Consumer Cyclical - \overline{Consumer Cyclical}}{\sigma_{Consumer Cyclical}}}
Model 523| niestabilny numerycznie | Stock-based compensation^3
Model 524| niestabilny numerycznie | PE ratio^3
Model 525| niestabilny numerycznie | Tangible Book Value per Share^2
Model 526| niestabilny numerycznie | Income Tax Expense^3
Model 527| niestabilny numerycznie | Gross Margin
Model 528| niestabilny numerycznie | Graham Net-Net^2
Model 529| niestabilny numerycznie | Gross Profit
Model 530| niestabilny numerycznie | Receivables growth^2
Model 531| niestabilny numerycznie | e^{\frac{Revenue - \overline{Revenue}}{\sigma_{Revenue}}}
Model 532| niestabilny numerycznie | Total current assets^3
Model 533| niestabilny numerycznie | e^{\frac{debtRatio - \overline{debtRatio}}{\sigma_{debtRatio}}}
Model 534| niestabilny numerycznie | Shareholders Equity per Share^2
Model 535| niestabilny numerycznie | e^{\frac{Gross Margin - \overline{Gross Margin}}{\sigma_{Gross Margin}}}
Model 536| niestabilny numerycznie | Total current liabilities^3
Model 537| niestabilny numerycznie | Effect of forex changes on cash
Model 538| niestabilny numerycznie | e^{\frac{debtEquityRatio - \overline{debtEquityRatio}}{\sigma_{debtEquityRatio}}}
Model 539| niestabilny numerycznie | e^{\frac{Profit Margin - \overline{Profit Margin}}{\sigma_{Profit Margin}}}
Model 540| niestabilny numerycznie | Long-term investments^3
Model 541| niestabilny numerycznie | e^{\frac{priceEarningsRatio - \overline{priceEarningsRatio}}{\sigma_{priceEarningsRatio}}}
Model 542| niestabilny numerycznie | Net cash flow / Change in cash^2
Model 543| niestabilny numerycznie | Net cash flow / Change in cash^3
Model 544| niestabilny numerycznie | Dividend payments
Model 545| niestabilny numerycznie | Healthcare
Model 546| niestabilny numerycznie | Gross Profit Growth^3
Model 547| niestabilny numerycznie | Days Payables Outstanding
Model 548| niestabilny numerycznie | e^{\frac{EBITDA Margin - \overline{EBITDA Margin}}{\sigma_{EBITDA Margin}}}
Model 549| niestabilny numerycznie | Tax assets^3
Model 550| niestabilny numerycznie | e^{\frac{Capital Expenditure - \overline{Capital Expenditure}}{\sigma_{Capital Expenditure}}}
Model 551| niestabilny numerycznie | Issuance (buybacks) of shares
Model 552| niestabilny numerycznie | Total debt
Model 553| niestabilny numerycznie | e^{\frac{Net Income per Share - \overline{Net Income per Share}}{\sigma_{Net Income per Share}}}
Model 554| niestabilny numerycznie | e^{\frac{fixedAssetTurnover - \overline{fixedAssetTurnover}}{\sigma_{fixedAssetTurnover}}}
Model 555| niestabilny numerycznie | R&D Expense Growth
Model 556| niestabilny numerycznie | e^{\frac{Interest Debt per Share - \overline{Interest Debt per Share}}{\sigma_{Interest Debt per Share}}}
Model 557| niestabilny numerycznie | Net Income Growth^2
Model 558| niestabilny numerycznie | operatingCashFlowPerShare
Model 559| niestabilny numerycznie | Revenue^3
Model 560| niestabilny numerycznie | priceToSalesRatio^2
Model 561| niestabilny numerycznie | cashRatio^3
Model 562| niestabilny numerycznie | Investments
Model 563| niestabilny numerycznie | 3Y Dividend per Share Growth (per Share)^3
Model 564| niestabilny numerycznie | Tangible Book Value per Share^3
Model 565| niestabilny numerycznie | e^{\frac{netProfitMargin - \overline{netProfitMargin}}{\sigma_{netProfitMargin}}}
Model 566| niestabilny numerycznie | Free Cash Flow per Share^2
Model 567| niestabilny numerycznie | ebitperRevenue
Model 568| niestabilny numerycznie | Capex to Operating Cash Flow
Model 569| niestabilny numerycznie | e^{\frac{Net Debt to EBITDA - \overline{Net Debt to EBITDA}}{\sigma_{Net Debt to EBITDA}}}
Model 570| niestabilny numerycznie | Gross Profit^2
Model 571| niestabilny numerycznie | EBITDA
Model 572| niestabilny numerycznie | Stock-based compensation
Model 573| niestabilny numerycznie | e^{\frac{Industrials - \overline{Industrials}}{\sigma_{Industrials}}}
Model 574| niestabilny numerycznie | Revenue Growth^2
Model 575| niestabilny numerycznie | e^{\frac{priceToSalesRatio - \overline{priceToSalesRatio}}{\sigma_{priceToSalesRatio}}}
Model 576| niestabilny numerycznie | Free Cash Flow growth
Model 577| niestabilny numerycznie | Dividends per Share Growth^3
Model 578| niestabilny numerycznie | grossProfitMargin^3
Model 579| niestabilny numerycznie | e^{\frac{EBIT Margin - \overline{EBIT Margin}}{\sigma_{EBIT Margin}}}
Model 580| niestabilny numerycznie | interestCoverage^2
Model 581| niestabilny numerycznie | Average Receivables^3
Model 582| niestabilny numerycznie | Book Value per Share Growth
Model 583| niestabilny numerycznie | totalDebtToCapitalization
Model 584| niestabilny numerycznie | Stock-based compensation to Revenue^3
Model 585| niestabilny numerycznie | payablesTurnover^2
Model 586| niestabilny numerycznie | e^{\frac{Gross Profit - \overline{Gross Profit}}{\sigma_{Gross Profit}}}
Model 587| niestabilny numerycznie | Free Cash Flow^2
Model 588| niestabilny numerycznie | SG&A Expense^2
Model 589| niestabilny numerycznie | Operating Cash Flow per Share^3
Model 590| niestabilny numerycznie | priceEarningsRatio^2
Model 591| niestabilny numerycznie | R&D Expenses^3
Model 592| niestabilny numerycznie | e^{\frac{R&D Expense Growth - \overline{R&D Expense Growth}}{\sigma_{R&D Expense Growth}}}
Model 593| niestabilny numerycznie | Receivables^3
Model 594| niestabilny numerycznie | Acquisitions and disposals
Model 595| niestabilny numerycznie | Net Debt to EBITDA^2
Model 596| niestabilny numerycznie | Days Sales Outstanding^2
Model 597| niestabilny numerycznie | PE ratio^2
Model 598| niestabilny numerycznie | Total current assets^2
Model 599| niestabilny numerycznie | ROE^3
Model 600| niestabilny numerycznie | freeCashFlowPerShare^3
Model 601| niestabilny numerycznie | Payout Ratio
Model 602| niestabilny numerycznie | Debt Growth^3
Model 603| niestabilny numerycznie | Receivables
Model 604| niestabilny numerycznie | e^{\frac{Weighted Average Shares Diluted Growth - \overline{Weighted Average Shares Diluted Growth}}{\sigma_{Weighted Average Shares Diluted Growth}}}
Model 605| niestabilny numerycznie | e^{\frac{Book Value per Share Growth - \overline{Book Value per Share Growth}}{\sigma_{Book Value per Share Growth}}}
Model 606| niestabilny numerycznie | Property, Plant & Equipment Net
Model 607| niestabilny numerycznie | Investment purchases and sales^2
Model 608| niestabilny numerycznie | e^{\frac{Net Income - \overline{Net Income}}{\sigma_{Net Income}}}
Model 609| niestabilny numerycznie | e^{\frac{Inventory Growth - \overline{Inventory Growth}}{\sigma_{Inventory Growth}}}
Model 610| niestabilny numerycznie | Weighted Average Shs Out (Dil)
Model 611| niestabilny numerycznie | priceToOperatingCashFlowsRatio^2
Model 612| niestabilny numerycznie | Net Income per Share^3
Model 613| niestabilny numerycznie | assetTurnover^2
Model 614| niestabilny numerycznie | e^{\frac{cashRatio - \overline{cashRatio}}{\sigma_{cashRatio}}}
Model 615| niestabilny numerycznie | e^{\frac{Technology - \overline{Technology}}{\sigma_{Technology}}}
Model 616| niestabilny numerycznie | Operating Income^3
Model 617| niestabilny numerycznie | e^{\frac{Net Income - Discontinued ops - \overline{Net Income - Discontinued ops}}{\sigma_{Net Income - Discontinued ops}}}
Model 618| niestabilny numerycznie | Operating Cash Flow per Share
Model 619| niestabilny numerycznie | Receivables Turnover^3
Model 620| niestabilny numerycznie | 3Y Operating CF Growth (per Share)^2
Model 621| niestabilny numerycznie | Price to Sales Ratio^2
Model 622| niestabilny numerycznie | Inventory Turnover^2
Model 623| niestabilny numerycznie | e^{\frac{dividendYield - \overline{dividendYield}}{\sigma_{dividendYield}}}
Model 624| niestabilny numerycznie | e^{\frac{Stock-based compensation to Revenue - \overline{Stock-based compensation to Revenue}}{\sigma_{Stock-based compensation to Revenue}}}
Model 625| niestabilny numerycznie | payablesTurnover^3
Model 626| niestabilny numerycznie | Stock-based compensation^2
Model 627| niestabilny numerycznie | priceFairValue^3
Model 628| niestabilny numerycznie | e^{\frac{Total current assets - \overline{Total current assets}}{\sigma_{Total current assets}}}
Model 629| niestabilny numerycznie | Debt to Assets
Model 630| niestabilny numerycznie | 3Y Shareholders Equity Growth (per Share)
Model 631| niestabilny numerycznie | e^{\frac{Issuance (buybacks) of shares - \overline{Issuance (buybacks) of shares}}{\sigma_{Issuance (buybacks) of shares}}}
Model 632| niestabilny numerycznie | Price to Sales Ratio^3
Model 633| niestabilny numerycznie | e^{\frac{Dividend payments - \overline{Dividend payments}}{\sigma_{Dividend payments}}}
Model 634| niestabilny numerycznie | debtRatio
Model 635| niestabilny numerycznie | SG&A to Revenue
Model 636| niestabilny numerycznie | e^{\frac{Net Cash/Marketcap - \overline{Net Cash/Marketcap}}{\sigma_{Net Cash/Marketcap}}}
Model 637| niestabilny numerycznie | quickRatio
Model 638| niestabilny numerycznie | Graham Net-Net
Model 639| niestabilny numerycznie | priceFairValue^2
Model 640| niestabilny numerycznie | Operating Income^2
Model 641| niestabilny numerycznie | Profit Margin
Model 642| niestabilny numerycznie | e^{\frac{interestCoverage - \overline{interestCoverage}}{\sigma_{interestCoverage}}}
Model 643| niestabilny numerycznie | longtermDebtToCapitalization^2
Model 644| niestabilny numerycznie | daysOfSalesOutstanding^2
Model 645| niestabilny numerycznie | Goodwill and Intangible Assets
Model 646| niestabilny numerycznie | Income Quality^2
Model 647| niestabilny numerycznie | Retained earnings (deficit)^3
Model 648| niestabilny numerycznie | e^{\frac{Long-term investments - \overline{Long-term investments}}{\sigma_{Long-term investments}}}
Model 649| niestabilny numerycznie | ROE
Model 650| niestabilny numerycznie | priceEarningsRatio^3
Model 651| niestabilny numerycznie | PFCF ratio
Model 652| niestabilny numerycznie | e^{\frac{Interest Expense - \overline{Interest Expense}}{\sigma_{Interest Expense}}}
Model 653| niestabilny numerycznie | currentRatio^2
Model 654| niestabilny numerycznie | Capital Expenditure
Model 655| niestabilny numerycznie | e^{\frac{daysOfInventoryOutstanding - \overline{daysOfInventoryOutstanding}}{\sigma_{daysOfInventoryOutstanding}}}
Model 656| niestabilny numerycznie | longtermDebtToCapitalization^3
Model 657| niestabilny numerycznie | e^{\frac{EBIT - \overline{EBIT}}{\sigma_{EBIT}}}
Model 658| niestabilny numerycznie | Operating Income
Model 659| niestabilny numerycznie | e^{\frac{Total current liabilities - \overline{Total current liabilities}}{\sigma_{Total current liabilities}}}
Model 660| niestabilny numerycznie | e^{\frac{Earnings Yield - \overline{Earnings Yield}}{\sigma_{Earnings Yield}}}
Model 661| niestabilny numerycznie | Communication Services
Model 662| niestabilny numerycznie | EPS Diluted^3
Model 663| niestabilny numerycznie | Payables^2
Model 664| niestabilny numerycznie | Operating Expenses
Model 665| niestabilny numerycznie | Other comprehensive income^2
Model 666| niestabilny numerycznie | Interest Coverage^3
Model 667|0.1228994305338061|38.67257311220614|4/10|63|Net Current Asset Value^3|38.60861761443756|41.62318225668445
Model 667| niestabilny numerycznie | Dividend Yield^2
Model 668|0.0787795779495696|38.478894369056036|4/10|62|Net Current Asset Value^3|38.60864719280152|40.986715867992366
Model 668|0.8572313515395971|40.320489091071536|4/10|62|Net Current Asset Value^3|38.57530702458759|65.29384633799036
Model 668|0.8572313515395971|40.320489091071536|4/10|62|Net Current Asset Value^3|38.57530702458759|65.29384633799036
Model 668|0.6304519201576037|40.05635713589877|4/10|62|Net Current Asset Value^3|38.57605766639362|41.641301486704656
Model 669| niestabilny numerycznie | Stock-based compensation to Revenue^2
Model 670| niestabilny numerycznie | e^{\frac{Consumer Defensive - \overline{Consumer Defensive}}{\sigma_{Consumer Defensive}}}
Model 671| niestabilny numerycznie | Asset Growth
Model 672|0.1309912727806024|40.43383880850158|3/10|58|Goodwill and Intangible Assets^3|38.460213153298625|41.49035679742549
Model 672|0.20802364535224155|38.6538906583995|4/10|58|Goodwill and Intangible Assets^3|38.51265538634567|77.8201996125445
Model 672|0.20802364535224155|38.6538906583995|4/10|58|Goodwill and Intangible Assets^3|38.51265538634567|77.8201996125445
Model 672| niestabilny numerycznie | e^{\frac{Average Payables - \overline{Average Payables}}{\sigma_{Average Payables}}}
Model 673| niestabilny numerycznie | EPS Diluted
Model 674|0.03502173669048113|39.3471668835412|4/10|56|Goodwill and Intangible Assets^3|38.44890431435935|42.16258819669761
Model 674|0.1710348753216555|38.63085069927811|4/10|56|Goodwill and Intangible Assets^3|38.4326402674336|51.40957170995232
Model 674|0.1710348753216555|38.63085069927811|4/10|56|Goodwill and Intangible Assets^3|38.4326402674336|51.40957170995232
Model 674|0.25809949082423106|40.65318550156718|3/10|56|Goodwill and Intangible Assets^3|38.34571047201614|46.950597953862015
Model 675|0.10067951078534848|38.758556784441836|3/10|55|Capital Expenditure^3|38.438033388595315|41.55963519132069
Model 675| niestabilny numerycznie | Cash and short-term investments^2
Model 676| niestabilny numerycznie | Retained earnings (deficit)^2
Model 677| niestabilny numerycznie | Days of Inventory on Hand^3
Model 678| niestabilny numerycznie | returnOnEquity
Model 679| niestabilny numerycznie | e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}
Model 680| niestabilny numerycznie | EBITDA Margin^3
Model 681| niestabilny numerycznie | Net Income^2
Model 682| niestabilny numerycznie | e^{\frac{EPS - \overline{EPS}}{\sigma_{EPS}}}
Model 683| niestabilny numerycznie | companyEquityMultiplier^3
Model 684| niestabilny numerycznie | e^{\frac{Cost of Revenue - \overline{Cost of Revenue}}{\sigma_{Cost of Revenue}}}
Model 685| niestabilny numerycznie | Debt to Equity^2
Model 686| niestabilny numerycznie | e^{\frac{Issuance (repayment) of debt - \overline{Issuance (repayment) of debt}}{\sigma_{Issuance (repayment) of debt}}}
Model 687|0.4963918606101282|39.366829589884595|3/10|43|Other comprehensive income^3|38.533649063039334|40.083005284940484
Model 687|0.006342074676209218|37.84326077484586|4/10|43|Other comprehensive income^3|38.57314123904949|65.75795103651477
Model 687|0.006342074676209218|37.84326077484586|4/10|43|Other comprehensive income^3|38.57314123904949|65.75795103651477
Model 687|0.006088016694448602|37.76456137280216|4/10|43|Other comprehensive income^3|38.500765087344774|64.33923908130842
Model 688| niestabilny numerycznie | e^{\frac{Total debt - \overline{Total debt}}{\sigma_{Total debt}}}
Model 689| niestabilny numerycznie | Preferred Dividends^2
Model 690|0.5772475461741529|39.50891779689022|3/10|40|Capital Expenditure^3|38.40674412572487|40.27180565683602
Model 690|0.006144543358536669|37.77638718890497|4/10|40|Capital Expenditure^3|38.366969516603945|65.11903542485858
Model 690|0.006144543358536669|37.77638718890497|4/10|40|Capital Expenditure^3|38.366969516603945|65.11903542485858
Model 690|0.0060552890029115835|37.78379873087541|4/10|40|Capital Expenditure^3|38.36713602895738|65.16587229174162
Model 691|0.10419603752613482|38.33578659422007|4/10|39|EBIT^3|38.409751274306686|40.06446753851681
Model 691|0.005934181218627914|37.792700032411915|4/10|39|Net Income Com^3|38.37628745968693|64.93204852039248
Model 691|0.005934181218627914|37.792700032411915|4/10|39|Net Income Com^3|38.37628745968693|64.93204852039248
Model 691|0.005950011024470742|37.7858929845297|4/10|39|Net Income Com^3|38.371793713536185|64.79375987404887
Model 692| niestabilny numerycznie | daysOfSalesOutstanding
Model 693|0.005952590185521912|37.83497506881048|4/10|37|Net Income Com^3|38.41016420271862|40.063379129393454
Model 693|0.005802050836791329|37.79565689332261|4/10|37|Net Income Com^3|38.36922878816087|65.20288580977783
Model 693|0.005802050836791329|37.79565689332261|4/10|37|Net Income Com^3|38.36922878816087|65.20288580977783
Model 693|0.005798914892492784|37.79655402059548|4/10|37|Net Income Com^3|38.36930722689412|65.21041955822932
Model 694|0.008049780597837824|37.88805531838034|4/10|36|e^{\frac{companyEquityMultiplier - \overline{companyEquityMultiplier}}{\sigma_{companyEquityMultiplier}}}|422449.10513390554|40.055227076363835
Model 694|0.005659686734800581|37.816837951362025|4/10|36|e^{\frac{companyEquityMultiplier - \overline{companyEquityMultiplier}}{\sigma_{companyEquityMultiplier}}}|75011.94693150642|65.22984188814866
Model 694|0.005659686734800581|37.816837951362025|4/10|36|e^{\frac{companyEquityMultiplier - \overline{companyEquityMultiplier}}{\sigma_{companyEquityMultiplier}}}|75011.94693150642|65.22984188814866
Model 694|0.005657820505321302|37.817413380193784|4/10|36|e^{\frac{companyEquityMultiplier - \overline{companyEquityMultiplier}}{\sigma_{companyEquityMultiplier}}}|203815.98312419764|65.23136529342517
Model 695|0.005578444919803211|37.85879753432063|4/10|35|Total assets^2|200971.2826229956|39.94131354014012
Model 695|0.005655953582768909|37.81831114559431|4/10|35|Net Debt^2|559903.3779153692|65.22967684395711
Model 695|0.005655953582768909|37.81831114559431|4/10|35|Net Debt^2|559903.3779153692|65.22967684395711
Model 695|0.00565245490339607|37.81929328949999|4/10|35|Net Debt^2|563147.7665371528|65.25209832259378
Model 696|0.0056867256234128|37.85804530541713|4/10|34|Net Current Asset Value^2|1230074.0085488718|39.866934214211966
Model 696|0.005655401139892081|37.81890522729074|4/10|34|Net Current Asset Value^2|1145524.6574048884|65.2360600839991
Model 696|0.005655401139892081|37.81890522729074|4/10|34|Net Current Asset Value^2|1145524.6574048884|65.2360600839991
